,Posemo,Negemo,Work,Date,Status_id,length_messages
281,6.0,3.0,2.0,2016-03-22 15:31:44,261858613983318_558973154271861,66
282,17.0,3.0,19.0,2016-03-22 15:31:29,261858613983318_558973114271865,411
283,5.0,3.0,,2016-03-22 15:31:08,261858613983318_558973040938539,101
284,5.0,,,2016-03-22 15:30:48,261858613983318_558972900938553,62
285,,1.0,3.0,2016-03-22 15:30:34,261858613983318_558972874271889,16
286,1.0,,1.0,2016-03-22 15:30:21,261858613983318_558972837605226,21
287,,,1.0,2016-03-22 15:30:04,261858613983318_558972807605229,15
288,14.0,3.0,5.0,2016-03-22 15:29:47,261858613983318_558972760938567,120
289,9.0,2.0,,2016-03-17 23:31:45,261858613983318_556425444526632,139
290,1.0,1.0,,2016-03-17 23:31:31,261858613983318_556425417859968,26
291,2.0,7.0,2.0,2016-03-17 23:31:20,261858613983318_556423707860139,246
292,2.0,1.0,,2016-03-17 23:31:06,261858613983318_556423581193485,25
293,3.0,1.0,2.0,2016-03-17 23:30:53,261858613983318_556423501193493,67
294,9.0,7.0,1.0,2016-03-17 23:30:36,261858613983318_556423411193502,151
295,2.0,4.0,,2016-03-17 23:25:37,261858613983318_556422197860290,42
296,1.0,,,2016-03-17 23:25:25,261858613983318_556422154526961,22
297,3.0,1.0,1.0,2016-03-17 23:24:39,261858613983318_556422011193642,27
298,,,,2016-03-17 23:24:21,261858613983318_556421927860317,9
299,5.0,1.0,1.0,2016-03-17 23:23:42,261858613983318_556421847860325,76
300,1.0,1.0,,2016-03-17 23:22:50,261858613983318_556421721193671,35
301,7.0,,1.0,2016-03-16 17:02:57,261858613983318_555859361249907,79
302,11.0,10.0,6.0,2016-03-16 17:00:58,261858613983318_555858907916619,183
303,6.0,1.0,5.0,2016-03-16 17:00:40,261858613983318_555858874583289,86
304,1.0,3.0,1.0,2016-03-16 17:00:23,261858613983318_555858844583292,35
305,1.0,,,2016-03-16 17:00:09,261858613983318_555858817916628,8
306,3.0,,,2016-03-16 16:59:59,261858613983318_555858797916630,60
307,,1.0,,2016-03-16 16:59:40,261858613983318_555858717916638,37
308,,3.0,,2016-03-16 16:59:03,261858613983318_555858614583315,36
309,8.0,12.0,7.0,2016-03-16 16:58:47,261858613983318_555858497916660,309
310,1.0,,,2016-03-16 16:58:23,261858613983318_555858437916666,20
311,6.0,,,2016-03-16 16:58:11,261858613983318_555858414583335,35
312,2.0,4.0,2.0,2016-03-16 16:57:45,261858613983318_555858341250009,56
313,1.0,6.0,6.0,2016-03-16 16:57:25,261858613983318_555858294583347,127
